"Year","grp","sgrp","variable","value","value_base","diff_base","perc_base","Inflation","Infl2003Base","Infl2013Base","Infl2012Base","czsal_all","czsal_podnik","czsal_nepodnik","czsal_all_2003","czsal_podnik_2003","czsal_nepodnik_2003","phasal_all","phasal_all_2003","realchange","promenna","udaj","zmena","exekutiva","UO"
2003-01-01,"UO - Ministerstva",FALSE,"Platy_skutecnost",4364479.72,4364479.72,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","skutecnost",FALSE,TRUE,TRUE
2003-01-01,"UO",TRUE,"AvgSal_upraveny",23942.2033158813,23942.2033158813,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","upraveny",FALSE,FALSE,FALSE
2003-01-01,"SOBCPO",FALSE,"Zam_schvaleny",101871,101871,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","schvaleny",FALSE,FALSE,FALSE
2003-01-01,"ROPO celkem",TRUE,"Platy_upr2skut",0.995669511287957,0.995669511287957,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","upr2skut",TRUE,FALSE,FALSE
2003-01-01,"UO - Ministerstva",FALSE,"PlatyOPPP_schvaleny",4468406,4468406,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","schvaleny",FALSE,TRUE,TRUE
2003-01-01,"UO",TRUE,"OPPP_upr2skut",1.0592914922468,1.0592914922468,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","upr2skut",TRUE,FALSE,FALSE
2003-01-01,"OOSS",FALSE,"Platy_upraveny",12282536,12282536,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","upraveny",FALSE,FALSE,FALSE
2003-01-01,"Exekutiva",TRUE,"OPPP_schvaleny",283776,283776,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","schvaleny",FALSE,FALSE,FALSE
2003-01-01,"PO",FALSE,"OPPP_upraveny",706711,706711,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","upraveny",FALSE,FALSE,FALSE
2003-01-01,"OSS-SS",FALSE,"AvgSal_schvaleny",17549.1311232604,17549.1311232604,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","schvaleny",FALSE,TRUE,FALSE
